,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,male,group B,associate's degree,standard,none,89,85,79
1,male,group D,some high school,standard,none,63,54,43
2,female,group C,master's degree,standard,none,61,62,65
3,male,group B,some high school,free/reduced,completed,55,59,60
4,male,group A,some high school,free/reduced,completed,43,46,38
5,male,group E,master's degree,standard,completed,96,85,84
6,male,group B,associate's degree,standard,none,68,58,55
7,female,group B,bachelor's degree,standard,completed,83,92,92
8,female,group E,master's degree,free/reduced,none,61,70,70
9,male,group B,high school,standard,none,67,68,61
10,male,group C,bachelor's degree,free/reduced,completed,53,52,51
11,female,group E,some high school,standard,completed,91,100,100
12,female,group C,some college,free/reduced,completed,44,51,58
13,female,group D,bachelor's degree,free/reduced,none,46,46,54
14,male,group C,some high school,standard,none,72,63,62
15,female,group B,associate's degree,free/reduced,completed,72,89,91
16,female,group B,some high school,standard,completed,55,66,65
17,female,group D,some college,free/reduced,none,48,55,54
18,male,group D,high school,standard,completed,62,68,61
19,female,group E,high school,free/reduced,none,71,78,76
20,female,group C,master's degree,free/reduced,none,25,43,39
21,male,group E,some high school,free/reduced,none,80,70,68
22,female,group B,some high school,free/reduced,completed,52,66,66
23,female,group D,bachelor's degree,standard,completed,95,100,100
24,male,group A,high school,standard,completed,65,62,67
25,female,group C,high school,free/reduced,completed,63,73,77
26,male,group C,associate's degree,free/reduced,none,80,71,66
27,male,group E,associate's degree,standard,none,76,69,65
28,male,group C,associate's degree,free/reduced,completed,50,67,61
29,male,group D,some college,standard,none,72,69,68
30,male,group B,some high school,free/reduced,completed,44,37,36
31,female,group E,some college,standard,none,90,100,91
32,female,group C,associate's degree,standard,none,57,62,65
33,male,group D,high school,free/reduced,none,62,54,52
34,female,group C,some high school,standard,none,62,66,67
35,male,group B,associate's degree,free/reduced,none,74,71,70
36,female,group D,high school,free/reduced,completed,51,77,73
37,male,group D,high school,standard,completed,62,57,60
38,male,group C,some high school,standard,completed,84,83,83
39,male,group C,bachelor's degree,standard,none,62,60,57
40,female,group A,master's degree,standard,none,73,85,83
41,female,group B,high school,free/reduced,completed,64,60,66
42,female,group E,some high school,standard,none,64,69,58
43,male,group C,associate's degree,standard,none,70,55,59
44,female,group D,high school,standard,none,61,69,65
45,male,group D,some high school,free/reduced,none,66,55,49
46,female,group D,associate's degree,standard,none,66,71,72
47,male,group C,some high school,free/reduced,none,38,41,31
48,female,group C,some high school,standard,completed,62,73,79
49,female,group D,high school,standard,completed,59,70,72
50,male,group E,some college,standard,none,70,61,54
